transaction_id,merchant_id,customer_id,amount_inr,payment_method,status,attempts,failure_reason,timestamp,risk_status,recovered_amount_inr
TXN0033,M001,C033,1799,UPI,FAILED,1,BANK_TIMEOUT,2026-09-05 09:51,RETRY,0
TXN0034,M001,C034,2499,CARD,FAILED,2,NETWORK_ERROR,2026-09-05 09:58,RETRY,2499
TXN0035,M001,C035,3299,NETBANKING,SUCCESS,1,,2026-09-05 09:05,RECOVERED,3299
TXN0036,M001,C036,4999,UPI,FAILED,1,AUTHENTICATION_FAILED,2026-09-05 09:12,AT_RISK,0
TXN0037,M001,C037,6499,CARD,FAILED,2,ISSUER_DECLINED,2026-09-05 09:19,ESCALATE,0
TXN0038,M001,C038,7999,NETBANKING,FAILED,3,BANK_TIMEOUT,2026-09-05 09:26,RETRY,7999
TXN0039,M001,C039,9999,UPI,FAILED,1,NETWORK_ERROR,2026-09-05 09:33,RETRY,0
TXN0040,M001,C040,599,CARD,SUCCESS,1,,2026-09-05 09:40,RECOVERED,599
TXN0041,M001,C041,899,NETBANKING,FAILED,3,AUTHENTICATION_FAILED,2026-09-05 09:47,AT_RISK,0
TXN0042,M001,C042,1299,UPI,FAILED,1,ISSUER_DECLINED,2026-09-05 09:54,ESCALATE,0
TXN0043,M001,C043,1799,CARD,FAILED,2,BANK_TIMEOUT,2026-09-05 09:01,RETRY,0
TXN0044,M001,C044,2499,NETBANKING,FAILED,3,NETWORK_ERROR,2026-09-05 09:08,RETRY,2499
TXN0045,M001,C045,3299,UPI,SUCCESS,1,,2026-09-05 09:15,RECOVERED,3299
TXN0046,M001,C046,4999,CARD,FAILED,2,AUTHENTICATION_FAILED,2026-09-05 09:22,AT_RISK,0
TXN0047,M001,C047,6499,NETBANKING,FAILED,3,ISSUER_DECLINED,2026-09-05 09:29,ESCALATE,0
TXN0048,M001,C048,7999,UPI,FAILED,1,BANK_TIMEOUT,2026-09-05 09:36,RETRY,7999
TXN0049,M001,C049,9999,CARD,FAILED,2,NETWORK_ERROR,2026-09-05 09:43,RETRY,0
TXN0050,M001,C050,599,NETBANKING,SUCCESS,1,,2026-09-05 09:50,RECOVERED,599
TXN0051,M001,C051,899,UPI,FAILED,1,AUTHENTICATION_FAILED,2026-09-05 09:57,AT_RISK,0
TXN0052,M001,C052,1299,CARD,FAILED,2,ISSUER_DECLINED,2026-09-05 09:04,ESCALATE,0
TXN0053,M001,C053,1799,NETBANKING,FAILED,3,BANK_TIMEOUT,2026-09-05 09:11,RETRY,0
TXN0054,M001,C054,2499,UPI,FAILED,1,NETWORK_ERROR,2026-09-05 09:18,RETRY,2499
TXN0055,M001,C055,3299,CARD,SUCCESS,1,,2026-09-05 09:25,RECOVERED,3299
TXN0056,M001,C056,4999,NETBANKING,FAILED,3,AUTHENTICATION_FAILED,2026-09-05 09:32,AT_RISK,0
TXN0057,M001,C057,6499,UPI,FAILED,1,ISSUER_DECLINED,2026-09-05 09:39,ESCALATE,0
TXN0058,M001,C058,7999,CARD,FAILED,2,BANK_TIMEOUT,2026-09-05 09:46,RETRY,7999
TXN0059,M001,C059,9999,NETBANKING,FAILED,3,NETWORK_ERROR,2026-09-05 09:53,RETRY,0
TXN0060,M001,C060,599,UPI,SUCCESS,1,,2026-09-05 09:00,RECOVERED,599
TXN0061,M001,C061,899,CARD,FAILED,2,AUTHENTICATION_FAILED,2026-09-05 10:07,AT_RISK,0
TXN0062,M001,C062,1299,NETBANKING,FAILED,3,ISSUER_DECLINED,2026-09-05 10:14,ESCALATE,0
TXN0063,M001,C063,1799,UPI,FAILED,1,BANK_TIMEOUT,2026-09-05 10:21,RETRY,0
TXN0064,M001,C064,2499,CARD,FAILED,2,NETWORK_ERROR,2026-09-05 10:28,RETRY,2499
TXN0065,M001,C065,3299,NETBANKING,SUCCESS,1,,2026-09-05 10:35,RECOVERED,3299
TXN0066,M001,C066,4999,UPI,FAILED,1,AUTHENTICATION_FAILED,2026-09-05 10:42,AT_RISK,0
TXN0067,M001,C067,6499,CARD,FAILED,2,ISSUER_DECLINED,2026-09-05 10:49,ESCALATE,0
TXN0068,M001,C068,7999,NETBANKING,FAILED,3,BANK_TIMEOUT,2026-09-05 10:56,RETRY,7999
TXN0069,M001,C069,9999,UPI,FAILED,1,NETWORK_ERROR,2026-09-05 10:03,RETRY,0
TXN0070,M001,C070,599,CARD,SUCCESS,1,,2026-09-05 10:10,RECOVERED,599
TXN0071,M001,C071,899,NETBANKING,FAILED,3,AUTHENTICATION_FAILED,2026-09-05 10:17,AT_RISK,0
TXN0072,M001,C072,1299,UPI,FAILED,1,ISSUER_DECLINED,2026-09-05 10:24,ESCALATE,0
TXN0073,M001,C073,1799,CARD,FAILED,2,BANK_TIMEOUT,2026-09-05 10:31,RETRY,0
TXN0074,M001,C074,2499,NETBANKING,FAILED,3,NETWORK_ERROR,2026-09-05 10:38,RETRY,2499
TXN0075,M001,C075,3299,UPI,SUCCESS,1,,2026-09-05 10:45,RECOVERED,3299
TXN0076,M001,C076,4999,CARD,FAILED,2,AUTHENTICATION_FAILED,2026-09-05 10:52,AT_RISK,0
TXN0077,M001,C077,6499,NETBANKING,FAILED,3,ISSUER_DECLINED,2026-09-05 10:59,ESCALATE,0
TXN0078,M001,C078,7999,UPI,FAILED,1,BANK_TIMEOUT,2026-09-05 10:06,RETRY,7999
TXN0079,M001,C079,9999,CARD,FAILED,2,NETWORK_ERROR,2026-09-05 10:13,RETRY,0
TXN0080,M001,C080,599,NETBANKING,SUCCESS,1,,2026-09-05 10:20,RECOVERED,599
TXN0081,M001,C081,899,UPI,FAILED,1,AUTHENTICATION_FAILED,2026-09-05 10:27,AT_RISK,0
TXN0082,M001,C082,1299,CARD,FAILED,2,ISSUER_DECLINED,2026-09-05 10:34,ESCALATE,0
TXN0083,M001,C083,1799,NETBANKING,FAILED,3,BANK_TIMEOUT,2026-09-05 10:41,RETRY,0
TXN0084,M001,C084,2499,UPI,FAILED,1,NETWORK_ERROR,2026-09-05 10:48,RETRY,2499
TXN0085,M001,C085,3299,CARD,SUCCESS,1,,2026-09-05 10:55,RECOVERED,3299
TXN0086,M001,C086,4999,NETBANKING,FAILED,3,AUTHENTICATION_FAILED,2026-09-05 10:02,AT_RISK,0
TXN0087,M001,C087,6499,UPI,FAILED,1,ISSUER_DECLINED,2026-09-05 10:09,ESCALATE,0
TXN0088,M001,C088,7999,CARD,FAILED,2,BANK_TIMEOUT,2026-09-05 10:16,RETRY,7999
TXN0089,M001,C089,9999,NETBANKING,FAILED,3,NETWORK_ERROR,2026-09-05 10:23,RETRY,0
TXN0090,M001,C090,599,UPI,SUCCESS,1,,2026-09-05 10:30,RECOVERED,599
TXN0091,M001,C091,899,CARD,FAILED,2,AUTHENTICATION_FAILED,2026-09-05 10:37,AT_RISK,0
TXN0092,M001,C092,1299,NETBANKING,FAILED,3,ISSUER_DECLINED,2026-09-05 10:44,ESCALATE,0
TXN0093,M001,C093,1799,UPI,FAILED,1,BANK_TIMEOUT,2026-09-05 10:51,RETRY,0
TXN0094,M001,C094,2499,CARD,FAILED,2,NETWORK_ERROR,2026-09-05 10:58,RETRY,2499
TXN0095,M001,C095,3299,NETBANKING,SUCCESS,1,,2026-09-05 10:05,RECOVERED,3299
TXN0096,M001,C096,4999,UPI,FAILED,1,AUTHENTICATION_FAILED,2026-09-05 10:12,AT_RISK,0
TXN0097,M001,C097,6499,CARD,FAILED,2,ISSUER_DECLINED,2026-09-05 10:19,ESCALATE,0
TXN0098,M001,C098,7999,NETBANKING,FAILED,3,BANK_TIMEOUT,2026-09-05 10:26,RETRY,7999
TXN0099,M001,C099,9999,UPI,FAILED,1,NETWORK_ERROR,2026-09-05 10:33,RETRY,0
TXN0100,M001,C100,599,CARD,SUCCESS,1,,2026-09-05 10:40,RECOVERED,599
